frame,label,value
0,leftPeak3,0









192,crosses3,0
193,crosses3,0
194,crosses3,0.05
195,crosses3,0
196,crosses3,0
197,crosses3,0
198,crosses3,0.05
199,crosses3,0
200,crosses3,0
201,crosses3,0
202,crosses3,0
203,crosses3,0
204,crosses3,0
205,crosses3,0
206,crosses3,0
207,crosses3,0
208,crosses3,0.05
209,crosses3,0
210,crosses3,0
211,crosses3,0
212,crosses3,0
213,crosses3,0.05
214,crosses3,0
215,crosses3,0
216,crosses3,0
217,crosses3,0
218,crosses3,0
219,crosses3,0
220,crosses3,0
221,crosses3,0
222,crosses3,0.05
223,crosses3,0
224,crosses3,0
225,crosses3,0
226,crosses3,0
227,crosses3,0.05
228,crosses3,0
229,crosses3,0
230,crosses3,0
231,crosses3,0
232,crosses3,0
233,crosses3,0
234,crosses3,0
235,crosses3,0
236,crosses3,0.05
237,crosses3,0
238,crosses3,0
239,crosses3,0
240,crosses3,0
241,crosses3,0.05
242,crosses3,0
243,crosses3,0
244,crosses3,0
245,crosses3,0
246,crosses3,0
247,crosses3,0
248,crosses3,0
249,crosses3,0
250,crosses3,0.05
251,crosses3,0
252,crosses3,0
253,crosses3,0
254,crosses3,0
255,crosses3,0.05
256,crosses3,0
257,crosses3,0
258,crosses3,0
259,crosses3,0
260,crosses3,0
261,crosses3,0
262,crosses3,0
263,crosses3,0
264,crosses3,0
265,crosses3,0
266,crosses3,0
267,crosses3,0
268,crosses3,0
269,crosses3,0
270,crosses3,0
271,crosses3,0
272,crosses3,0
273,crosses3,0
274,crosses3,0
275,crosses3,0
276,crosses3,0
277,crosses3,0
278,crosses3,0
279,crosses3,0
280,crosses3,0
281,crosses3,0
282,crosses3,0
283,crosses3,0
284,crosses3,0
285,crosses3,0
286,crosses3,0
287,crosses3,0
288,crosses3,0
289,crosses3,0
290,crosses3,0
291,crosses3,0
292,crosses3,0
293,crosses3,0
294,crosses3,0
295,crosses3,0
296,crosses3,0
297,crosses3,0
298,crosses3,0
299,crosses3,0
300,crosses3,0
301,crosses3,0
302,crosses3,0
303,crosses3,0
304,crosses3,0
305,crosses3,0
306,crosses3,0
307,crosses3,0
308,crosses3,0
309,crosses3,0
310,crosses3,0
311,crosses3,0
312,crosses3,0
0,result,0
1,result,0
