id,side,value
328,right,0.08837199609594634
329,left,0.044521958888821996
329,right,0.16106649010944882
330,left,0.041263628547795556
330,right,0.1420064212369504
331,left,0.02614471537106863
331,right,0.11798759050035114
332,left,0.03159941219212822
332,right,0.09083253778359063
333,left,0.009598502281735422
333,right,0.010356368744770434
334,left,0.03687006548711813
334,right,0.014078253743734876
335,left,0.08041746943420093
335,right,0.047982871239763004
336,left,0.08348295019640936
336,right,0.05501811963467748
337,left,0.09552935116988544
337,right,0.034820356104976816
338,left,0.0850821280705763
338,right,0.021797598932355826
339,left,0.008104618596410809
339,right,0.0900998113867697
340,left,0.035105314589571515
340,right,0.03225801319162032
341,left,0.01745817842392527
341,right,0.1166155133975433
342,left,0.02712787127060114
342,right,0.13130174093835115
343,left,0.026954461601274435
343,right,0.15505321799867905
344,left,0.04151933335035911
344,right,0.12055560533879726
345,left,0.03081033753224269
345,right,0.0647120203583003
346,left,0.01598361596279668
346,right,0.12615937478848296
347,left,0.06599826601809017
347,right,0.035639721971164655
348,left,0.09135475375542759
348,right,0.03267791493550173
349,left,0.11910675985195043
349,right,0.05370640271962156
350,left,0.10598853157187067
350,right,0.047020195555445045
351,left,0.08944903498903696
351,right,0.0262515590518734
352,left,0.12076111172335421
352,right,0.020716678320845016
353,left,0.004424099141211957
353,right,0.036725129686594284
354,left,0.01732180471255533
354,right,0.1389312418067941
355,left,0.01742154969314185
355,right,0.17551621134628284
356,left,0.024005211017810574
356,right,0.16434568525729287
357,left,0.02465858939928976
357,right,0.1613666047610224
358,left,0.026024184876136683
358,right,0.15517679716353458
359,left,0.03527338010371107
359,right,0.16444064634592964
360,left,0.026027578455798953
360,right,0.14921530706273387
361,left,0.09351072268376528
361,right,0.08223835024898736
362,left,0.14767045984561125
362,right,0.018809298473222626
363,left,0.12071817094434635
363,right,0.04273523138654791
364,left,0.152670917589784
364,right,0.03649200939027007
365,left,0.1411030412130449
365,right,0.031901179707601035
366,left,0.08528117970982452
366,right,0.030739028680494194
367,left,0.010328305055269925
367,right,0.021318019997689782
368,left,0.010758657327616217
368,right,0.23195911989241386
369,left,0.044377144101934336
369,right,0.17534511757968424
370,left,0.037777491715437136
370,right,0.23956101114778955
371,left,0.02238701077714817
371,right,0.2527628283673745
372,left,0.025995157966174846
372,right,0.2452700994356222
373,left,0.033239964645626695
373,right,0.18073333020979945
374,left,0.022413472035189414
374,right,0.0844050758955838
375,left,0.058713325200602386
375,right,0.04760220069922396
376,left,0.09626107260086365
376,right,0.031886061074293176
377,left,0.16902237883773155
377,right,0.019885914093298627
378,left,0.2201622475900904
378,right,0.012393379018834198
379,left,0.19099354211844166
379,right,0.04289337424180383
380,left,0.15584957484703257
380,right,0.0197824732617229
